node_id,type,x,y,x_m,y_m,region,degree,connected_nodes,is_door
R2_N1,junction,210,95,4.7,-1.4000000000000001,2,3,"R2_N10, R2_N11, R2_N13",False
R2_N5,junction,181,98,3.25,-1.55,2,9,"R2_N121, R2_N122, R2_N123, R2_N124, R2_N7, R2_N10, R2_N11, R2_N13",False
R2_N7,junction,178,101,3.1,-1.7000000000000002,2,7,"R2_N120, R2_N121, R2_N122, R2_N123, R2_N124, R2_N5, R2_N13",False
R2_N10,junction,197,104,4.05,-1.85,2,10,"R2_N122, R2_N123, R2_N124, R2_N1, R2_N5, R2_N11, R2_N13",False
R2_N11,junction,201,104,4.25,-1.85,2,10,"R2_N121, R2_N122, R2_N123, R2_N124, R2_N1, R2_N5, R2_N10, R2_N13",False
R2_N13,junction,191,112,3.75,-2.25,2,5,"R2_N1, R2_N5, R2_N7, R2_N10, R2_N11",False
R2_N116,junction,158,95,2.1,-1.4000000000000001,2,13,"R2_N117, R2_N118, R2_N119, R2_N120, R2_N121, R2_N122, R2_N123, R2_N124",False
R2_N117,junction,159,95,2.15,-1.4000000000000001,2,13,"R2_N116, R2_N118, R2_N119, R2_N120, R2_N121, R2_N122, R2_N123, R2_N124",False
R2_N118,junction,160,95,2.2,-1.4000000000000001,2,13,"R2_N116, R2_N117, R2_N119, R2_N120, R2_N121, R2_N122, R2_N123, R2_N124",False
R2_N119,junction,161,95,2.25,-1.4000000000000001,2,13,"R2_N116, R2_N117, R2_N118, R2_N120, R2_N121, R2_N122, R2_N123, R2_N124",False
R2_N120,junction,162,95,2.3000000000000003,-1.4000000000000001,2,14,"R2_N116, R2_N117, R2_N118, R2_N119, R2_N7, R2_N121, R2_N122, R2_N123, R2_N124",False
R2_N121,junction,163,95,2.35,-1.4000000000000001,2,15,"R2_N116, R2_N117, R2_N118, R2_N119, R2_N120, R2_N5, R2_N7, R2_N11, R2_N122, R2_N123, R2_N124",False
R2_N122,junction,164,95,2.4000000000000004,-1.4000000000000001,2,15,"R2_N116, R2_N117, R2_N118, R2_N119, R2_N120, R2_N121, R2_N5, R2_N7, R2_N10, R2_N11, R2_N123, R2_N124",False
R2_N123,junction,165,95,2.45,-1.4000000000000001,2,14,"R2_N116, R2_N117, R2_N118, R2_N119, R2_N120, R2_N121, R2_N122, R2_N5, R2_N7, R2_N10, R2_N11, R2_N124",False
R2_N124,junction,166,95,2.5,-1.4000000000000001,2,14,"R2_N116, R2_N117, R2_N118, R2_N119, R2_N120, R2_N121, R2_N122, R2_N123, R2_N5, R2_N7, R2_N10, R2_N11",False
R3_N15,intermediate,290,113,8.700000000000001,-2.3000000000000003,3,2,"R3_N27, R3_N28",False
R3_N14,junction,239,112,6.15,-2.25,3,9,"R3_N23, R3_N24, R3_N25, R3_N26, R3_N30, R3_N31, R3_N32, R3_N36, R3_N44",False
R3_N16,junction,310,113,9.700000000000001,-2.3000000000000003,3,9,"R3_N17, R3_N18, R3_N19, R3_N20, R3_N21, R3_N29, R3_N38, R3_N43",False
R3_N17,junction,319,113,10.15,-2.3000000000000003,3,8,"R3_N16, R3_N18, R3_N19, R3_N20, R3_N21, R3_N29, R3_N38, R3_N41",False
R3_N18,junction,314,117,9.9,-2.5,3,9,"R3_N16, R3_N17, R3_N19, R3_N20, R3_N21, R3_N29, R3_N38, R3_N41, R3_N43",False
R3_N19,junction,315,117,9.950000000000001,-2.5,3,9,"R3_N16, R3_N17, R3_N18, R3_N20, R3_N21, R3_N29, R3_N38, R3_N41, R3_N43",False
R3_N20,junction,314,118,9.9,-2.5500000000000003,3,9,"R3_N16, R3_N17, R3_N18, R3_N19, R3_N21, R3_N29, R3_N38, R3_N41, R3_N43",False
R3_N21,junction,315,119,9.950000000000001,-2.6,3,9,"R3_N16, R3_N17, R3_N18, R3_N19, R3_N20, R3_N29, R3_N38, R3_N41, R3_N43",False
R3_N23,junction,247,121,6.550000000000001,-2.7,3,13,"R3_N14, R3_N24, R3_N25, R3_N26, R3_N27, R3_N30, R3_N31, R3_N32, R3_N36, R3_N44, R3_N45, R3_N49, R3_N125",False
R3_N24,junction,246,122,6.5,-2.75,3,13,"R3_N14, R3_N23, R3_N25, R3_N26, R3_N27, R3_N28, R3_N30, R3_N31, R3_N32, R3_N36, R3_N44, R3_N45, R3_N125",False
R3_N25,junction,248,122,6.6000000000000005,-2.75,3,15,"R3_N14, R3_N23, R3_N24, R3_N26, R3_N27, R3_N28, R3_N30, R3_N31, R3_N32, R3_N36, R3_N44, R3_N45, R3_N49, R3_N125",False
R3_N26,junction,247,123,6.550000000000001,-2.8000000000000003,3,13,"R3_N14, R3_N23, R3_N24, R3_N25, R3_N27, R3_N28, R3_N30, R3_N31, R3_N32, R3_N36, R3_N44, R3_N45, R3_N125",False
R3_N27,junction,275,124,7.95,-2.85,3,10,"R3_N15, R3_N23, R3_N24, R3_N25, R3_N26, R3_N125, R3_N28, R3_N39, R3_N40, R3_N42",False
R3_N28,junction,279,124,8.15,-2.85,3,9,"R3_N15, R3_N24, R3_N25, R3_N26, R3_N125, R3_N27, R3_N39, R3_N40, R3_N42",False
R3_N29,junction,315,124,9.950000000000001,-2.85,3,9,"R3_N16, R3_N17, R3_N18, R3_N19, R3_N20, R3_N21, R3_N38, R3_N41, R3_N43",False
R3_N30,junction,247,125,6.550000000000001,-2.9000000000000004,3,11,"R3_N14, R3_N23, R3_N24, R3_N25, R3_N26, R3_N125, R3_N31, R3_N32, R3_N36, R3_N44, R3_N45",False
R3_N31,junction,248,126,6.6000000000000005,-2.95,3,15,"R3_N14, R3_N23, R3_N24, R3_N25, R3_N26, R3_N125, R3_N30, R3_N32, R3_N33, R3_N34, R3_N35, R3_N36, R3_N37, R3_N44, R3_N45",False
R3_N32,junction,249,126,6.65,-2.95,3,18,"R3_N14, R3_N23, R3_N24, R3_N25, R3_N26, R3_N125, R3_N30, R3_N31, R3_N33, R3_N34, R3_N35, R3_N36, R3_N37, R3_N44, R3_N45, R3_N49, R3_N51",False
R3_N33,junction,213,127,4.8500000000000005,-3.0,3,11,"R3_N31, R3_N32, R3_N34, R3_N35, R3_N36, R3_N37, R3_N126, R3_N127",False
R3_N34,junction,219,127,5.15,-3.0,3,15,"R3_N31, R3_N32, R3_N33, R3_N35, R3_N36, R3_N37, R3_N126, R3_N127",False
R3_N35,junction,222,127,5.300000000000001,-3.0,3,6,"R3_N31, R3_N32, R3_N33, R3_N34, R3_N36, R3_N37",False
R3_N36,junction,249,127,6.65,-3.0,3,17,"R3_N14, R3_N23, R3_N24, R3_N25, R3_N26, R3_N125, R3_N30, R3_N31, R3_N32, R3_N33, R3_N34, R3_N35, R3_N37, R3_N44, R3_N45, R3_N49",False
R3_N37,junction,214,128,4.9,-3.0500000000000003,3,14,"R3_N31, R3_N32, R3_N33, R3_N34, R3_N35, R3_N36, R3_N126, R3_N127",False
R3_N38,junction,320,128,10.200000000000001,-3.0500000000000003,3,10,"R3_N16, R3_N17, R3_N18, R3_N19, R3_N20, R3_N21, R3_N29, R3_N41, R3_N42, R3_N43",False
R3_N39,junction,285,131,8.450000000000001,-3.2,3,16,"R3_N27, R3_N28, R3_N40, R3_N41, R3_N42",False
R3_N40,junction,286,131,8.5,-3.2,3,5,"R3_N27, R3_N28, R3_N39, R3_N41, R3_N42",False
R3_N41,junction,308,131,9.600000000000001,-3.2,3,12,"R3_N17, R3_N18, R3_N19, R3_N20, R3_N21, R3_N29, R3_N38, R3_N39, R3_N40, R3_N42, R3_N43",False
R3_N42,junction,285,132,8.450000000000001,-3.25,3,17,"R3_N27, R3_N28, R3_N38, R3_N39, R3_N40, R3_N41",False
R3_N43,junction,312,137,9.8,-3.5,3,16,"R3_N16, R3_N18, R3_N19, R3_N20, R3_N21, R3_N29, R3_N38, R3_N41",False
R3_N44,junction,254,141,6.9,-3.7,3,13,"R3_N14, R3_N23, R3_N24, R3_N25, R3_N26, R3_N30, R3_N31, R3_N32, R3_N36, R3_N45, R3_N49, R3_N51",False
R3_N45,junction,253,142,6.8500000000000005,-3.75,3,12,"R3_N23, R3_N24, R3_N25, R3_N26, R3_N30, R3_N31, R3_N32, R3_N36, R3_N44, R3_N49, R3_N51",False
R3_N49,junction,254,148,6.9,-4.05,3,8,"R3_N23, R3_N25, R3_N32, R3_N36, R3_N44, R3_N45, R3_N51",False
R3_N51,junction,253,149,6.8500000000000005,-4.1000000000000005,3,7,"R3_N32, R3_N44, R3_N45, R3_N49",False
R3_N125,junction,262,123,7.300000000000001,-2.8000000000000003,3,10,"R3_N23, R3_N24, R3_N25, R3_N26, R3_N27, R3_N28, R3_N30, R3_N31, R3_N32, R3_N36",False
R3_N126,junction,203,137,4.3500000000000005,-3.5,3,13,"R3_N33, R3_N34, R3_N37, R3_N127",False
R3_N127,junction,203,138,4.3500000000000005,-3.5500000000000003,3,13,"R3_N33, R3_N34, R3_N37, R3_N126",False
R4_N46,junction,190,143,3.7,-3.8000000000000003,4,14,"R4_N54, R4_N63, R4_N67, R4_N72, R4_N74, R4_N130, R4_N131",False
R4_N54,junction,198,151,4.1000000000000005,-4.2,4,10,"R4_N46, R4_N63, R4_N67, R4_N72, R4_N74, R4_N89, R4_N92, R4_N93",False
R4_N63,junction,194,155,3.9000000000000004,-4.4,4,15,"R4_N46, R4_N54, R4_N130, R4_N131, R4_N67, R4_N72, R4_N74",False
R4_N67,junction,197,156,4.05,-4.45,4,15,"R4_N46, R4_N54, R4_N130, R4_N131, R4_N63, R4_N72, R4_N74, R4_N89, R4_N93",False
R4_N72,junction,198,162,4.1000000000000005,-4.75,4,10,"R4_N46, R4_N54, R4_N63, R4_N67, R4_N74, R4_N89, R4_N92, R4_N93",False
R4_N74,junction,199,163,4.15,-4.800000000000001,4,10,"R4_N46, R4_N54, R4_N63, R4_N67, R4_N72, R4_N89, R4_N92, R4_N93",False
R4_N89,junction,198,178,4.1000000000000005,-5.550000000000001,4,8,"R4_N54, R4_N67, R4_N72, R4_N74, R4_N92, R4_N93, R4_N110, R4_N111",False
R4_N92,junction,197,179,4.05,-5.6000000000000005,4,7,"R4_N54, R4_N72, R4_N74, R4_N89, R4_N93, R4_N110, R4_N111",False
R4_N93,junction,198,179,4.1000000000000005,-5.6000000000000005,4,8,"R4_N54, R4_N67, R4_N72, R4_N74, R4_N89, R4_N92, R4_N110, R4_N111",False
R4_N110,junction,189,187,3.6500000000000004,-6.0,4,3,"R4_N89, R4_N92, R4_N93",False
R4_N111,junction,206,187,4.5,-6.0,4,3,"R4_N89, R4_N92, R4_N93",False
R4_N130,junction,179,155,3.1500000000000004,-4.4,4,15,"R4_N46, R4_N63, R4_N67, R4_N131",False
R4_N131,junction,180,155,3.2,-4.4,4,15,"R4_N46, R4_N130, R4_N63, R4_N67",False
R5_N47,junction,140,145,1.2000000000000002,-3.9000000000000004,5,6,"R5_N58, R5_N61, R5_N62, R5_N68, R5_N69, R5_N76",False
R5_N48,junction,167,146,2.5500000000000003,-3.95,5,10,"R5_N59, R5_N66, R5_N68, R5_N69, R5_N73, R5_N76, R5_N128, R5_N129",False
R5_N58,junction,148,154,1.6,-4.3500000000000005,5,15,"R5_N47, R5_N59, R5_N61, R5_N62, R5_N66, R5_N68, R5_N69, R5_N73, R5_N76, R5_N128, R5_N129",False
R5_N59,junction,159,154,2.15,-4.3500000000000005,5,14,"R5_N48, R5_N58, R5_N61, R5_N62, R5_N66, R5_N68, R5_N69, R5_N73, R5_N76, R5_N128, R5_N129",False
R5_N61,junction,148,155,1.6,-4.4,5,14,"R5_N47, R5_N58, R5_N59, R5_N62, R5_N66, R5_N68, R5_N69, R5_N73, R5_N76, R5_N128, R5_N129",False
R5_N62,junction,149,155,1.6500000000000001,-4.4,5,14,"R5_N47, R5_N58, R5_N59, R5_N61, R5_N66, R5_N68, R5_N69, R5_N73, R5_N76, R5_N128, R5_N129",False
R5_N66,junction,157,156,2.0500000000000003,-4.45,5,12,"R5_N48, R5_N58, R5_N59, R5_N61, R5_N62, R5_N128, R5_N129, R5_N68, R5_N69, R5_N76",False
R5_N68,junction,156,157,2.0,-4.5,5,12,"R5_N47, R5_N48, R5_N58, R5_N59, R5_N61, R5_N62, R5_N128, R5_N66, R5_N69, R5_N76, R5_N94, R5_N108",False
R5_N69,junction,157,157,2.0500000000000003,-4.5,5,11,"R5_N47, R5_N48, R5_N58, R5_N59, R5_N61, R5_N62, R5_N128, R5_N66, R5_N68, R5_N73, R5_N76",False
R5_N73,junction,140,163,1.2000000000000002,-4.800000000000001,5,7,"R5_N48, R5_N58, R5_N59, R5_N61, R5_N62, R5_N69, R5_N76",False
R5_N76,junction,166,166,2.5,-4.95,5,19,"R5_N47, R5_N48, R5_N58, R5_N59, R5_N61, R5_N62, R5_N128, R5_N129, R5_N66, R5_N68, R5_N69, R5_N73, R5_N94",False
R5_N94,junction,151,181,1.75,-5.7,5,9,"R5_N128, R5_N68, R5_N76, R5_N102, R5_N104, R5_N105, R5_N108, R5_N109",False
R5_N102,junction,151,184,1.75,-5.8500000000000005,5,5,"R5_N94, R5_N104, R5_N105, R5_N108, R5_N109",False
R5_N104,junction,151,185,1.75,-5.9,5,5,"R5_N94, R5_N102, R5_N105, R5_N108, R5_N109",False
R5_N105,junction,152,185,1.8,-5.9,5,5,"R5_N94, R5_N102, R5_N104, R5_N108, R5_N109",False
R5_N108,junction,149,187,1.6500000000000001,-6.0,5,6,"R5_N68, R5_N94, R5_N102, R5_N104, R5_N105, R5_N109",False
R5_N109,junction,154,187,1.9000000000000001,-6.0,5,5,"R5_N94, R5_N102, R5_N104, R5_N105, R5_N108",False
R5_N128,junction,177,155,3.0500000000000003,-4.4,5,19,"R5_N48, R5_N58, R5_N59, R5_N61, R5_N62, R5_N66, R5_N68, R5_N69, R5_N76, R5_N94, R5_N129",False
R5_N129,junction,178,155,3.1,-4.4,5,17,"R5_N48, R5_N58, R5_N59, R5_N61, R5_N62, R5_N128, R5_N66, R5_N76",False
R6_N50,junction,313,148,9.850000000000001,-4.05,6,10,"R6_N52, R6_N55, R6_N56, R6_N57, R6_N60, R6_N64, R6_N65, R6_N71",False
R6_N52,junction,320,149,10.200000000000001,-4.1000000000000005,6,15,"R6_N50, R6_N55, R6_N56, R6_N57, R6_N60, R6_N64, R6_N65, R6_N71, R6_N85, R6_N96, R6_N99, R6_N100, R6_N112",False
R6_N53,junction,254,150,6.9,-4.15,6,8,R6_N79,False
R6_N55,junction,316,152,10.0,-4.25,6,10,"R6_N50, R6_N52, R6_N56, R6_N57, R6_N60, R6_N64, R6_N65, R6_N71, R6_N85",False
R6_N56,junction,317,152,10.05,-4.25,6,14,"R6_N50, R6_N52, R6_N55, R6_N57, R6_N60, R6_N64, R6_N65, R6_N71, R6_N85, R6_N96, R6_N99, R6_N100, R6_N112",False
R6_N57,junction,317,153,10.05,-4.3,6,14,"R6_N50, R6_N52, R6_N55, R6_N56, R6_N60, R6_N64, R6_N65, R6_N71, R6_N85, R6_N96, R6_N99, R6_N100, R6_N112",False
R6_N60,junction,317,154,10.05,-4.3500000000000005,6,12,"R6_N50, R6_N52, R6_N55, R6_N56, R6_N57, R6_N64, R6_N65, R6_N71, R6_N85, R6_N90, R6_N96",False
R6_N64,junction,316,155,10.0,-4.4,6,11,"R6_N50, R6_N52, R6_N55, R6_N56, R6_N57, R6_N60, R6_N65, R6_N71, R6_N85, R6_N90",False
R6_N65,junction,317,155,10.05,-4.4,6,10,"R6_N50, R6_N52, R6_N55, R6_N56, R6_N57, R6_N60, R6_N64, R6_N71, R6_N90",False
R6_N70,junction,286,157,8.5,-4.5,6,18,"R6_N75, R6_N78, R6_N81, R6_N82, R6_N83, R6_N84, R6_N85, R6_N86, R6_N87, R6_N90, R6_N95, R6_N96, R6_N97, R6_N99, R6_N100, R6_N101",False
R6_N71,junction,320,158,10.200000000000001,-4.55,6,8,"R6_N50, R6_N52, R6_N55, R6_N56, R6_N57, R6_N60, R6_N64, R6_N65",False
R6_N75,junction,285,163,8.450000000000001,-4.800000000000001,6,21,"R6_N70, R6_N78, R6_N81, R6_N82, R6_N83, R6_N84, R6_N85, R6_N86, R6_N87, R6_N90, R6_N95, R6_N96, R6_N97, R6_N98, R6_N99, R6_N100, R6_N101, R6_N103, R6_N107",False
R6_N77,junction,259,166,7.15,-4.95,6,13,"R6_N79, R6_N80, R6_N81, R6_N82, R6_N83, R6_N84, R6_N85, R6_N87, R6_N88, R6_N95, R6_N112, R6_N115",False
R6_N78,junction,285,166,8.450000000000001,-4.95,6,20,"R6_N70, R6_N75, R6_N79, R6_N80, R6_N81, R6_N82, R6_N83, R6_N84, R6_N85, R6_N86, R6_N87, R6_N90, R6_N95, R6_N96, R6_N97, R6_N98, R6_N99, R6_N100",False
R6_N79,junction,259,167,7.15,-5.0,6,13,"R6_N53, R6_N77, R6_N78, R6_N80, R6_N81, R6_N82, R6_N83, R6_N84, R6_N85, R6_N88, R6_N95, R6_N112",False
R6_N80,junction,260,167,7.2,-5.0,6,11,"R6_N77, R6_N78, R6_N79, R6_N81, R6_N82, R6_N83, R6_N84, R6_N85, R6_N88, R6_N95, R6_N112",False
R6_N81,junction,286,167,8.5,-5.0,6,21,"R6_N70, R6_N75, R6_N77, R6_N78, R6_N79, R6_N80, R6_N82, R6_N83, R6_N84, R6_N85, R6_N86, R6_N87, R6_N90, R6_N95, R6_N96, R6_N97, R6_N98, R6_N99, R6_N100",False
R6_N82,junction,285,169,8.450000000000001,-5.1000000000000005,6,19,"R6_N70, R6_N75, R6_N77, R6_N78, R6_N79, R6_N80, R6_N81, R6_N83, R6_N84, R6_N85, R6_N86, R6_N87, R6_N90, R6_N95, R6_N96, R6_N99, R6_N100",False
R6_N83,junction,286,170,8.5,-5.15,6,19,"R6_N70, R6_N75, R6_N77, R6_N78, R6_N79, R6_N80, R6_N81, R6_N82, R6_N84, R6_N85, R6_N86, R6_N87, R6_N90, R6_N95, R6_N96, R6_N99, R6_N100",False
