node_id,x,y,type,degree,region
0,192,138,junction,14,2
1,223,139,junction,28,2
2,247,139,junction,24,4
3,251,139,junction,27,4
4,300,140,junction,21,3
5,320,140,junction,17,3
6,249,141,junction,25,4
7,310,150,junction,15,3
8,310,152,junction,15,3
9,207,153,junction,18,2
10,208,153,junction,18,2
11,207,154,junction,18,2
12,279,158,junction,34,3
13,286,158,junction,23,3
14,252,159,junction,25,4
15,285,159,junction,25,3
16,287,159,junction,23,3
17,299,161,junction,21,3
18,300,161,junction,21,3
19,209,162,junction,15,2
51,225,162,junction,34,2
52,226,162,junction,35,2
53,227,162,junction,34,2
20,250,162,junction,22,4
21,300,162,junction,21,3
22,320,162,junction,21,3
23,242,163,junction,25,4
24,252,166,junction,22,4
25,251,167,junction,25,4
26,208,168,junction,12,2
27,252,168,junction,26,4
28,207,169,junction,12,2
29,208,169,junction,12,2
30,251,169,junction,26,4
31,252,170,junction,26,4
32,300,170,junction,21,3
33,251,171,junction,25,4
34,252,172,junction,25,4
35,299,175,junction,24,3
36,251,179,junction,22,4
37,299,179,junction,22,3
38,251,180,junction,22,4
39,252,180,junction,24,4
40,299,180,junction,21,3
41,300,180,junction,19,3
42,193,184,junction,8,2
43,223,184,junction,19,2
44,247,184,junction,25,4
45,256,184,junction,24,4
46,315,184,junction,17,3
47,320,184,junction,18,3
48,294,185,junction,20,3
49,309,185,junction,18,3
50,314,185,junction,20,3
