node1,node2,distance,same_region
0,1,5.00 px,True
0,2,25.00 px,True
0,3,35.00 px,True
0,4,2.83 px,True
0,5,3.61 px,True
0,6,4.24 px,True
0,7,30.41 px,True
0,8,6.71 px,True
0,9,7.28 px,True
0,10,8.54 px,True
0,11,11.40 px,True
0,14,12.37 px,True
0,15,12.65 px,True
0,16,13.89 px,True
0,17,25.94 px,True
0,19,13.15 px,False
0,20,14.32 px,False
0,26,37.01 px,True
0,28,25.18 px,False
0,30,36.80 px,True
0,31,44.60 px,True
0,39,68.62 px,False
0,45,70.04 px,False
1,2,20.00 px,True
1,3,30.00 px,True
1,4,3.61 px,True
1,5,2.83 px,True
1,6,3.61 px,True
1,7,25.50 px,True
1,8,6.32 px,True
1,9,7.62 px,True
1,10,8.25 px,True
1,11,11.18 px,True
1,14,12.17 px,True
1,15,12.04 px,True
1,16,12.17 px,True
1,17,21.63 px,True
1,18,26.83 px,True
1,19,13.34 px,False
1,20,14.14 px,False
1,22,31.40 px,True
1,23,32.80 px,True
1,25,33.30 px,True
1,26,33.24 px,True
1,27,33.97 px,True
1,28,25.08 px,False
1,32,41.11 px,True
1,33,42.52 px,True
1,34,42.64 px,True
1,38,65.19 px,False
1,50,61.20 px,False
2,3,10.00 px,True
2,4,23.09 px,True
2,5,22.09 px,True
2,6,22.20 px,True
2,7,7.07 px,True
2,8,22.80 px,True
2,9,24.04 px,True
2,10,23.41 px,True
2,11,24.60 px,True
2,14,25.06 px,True
2,15,24.19 px,True
2,16,21.63 px,True
2,17,12.17 px,True
2,18,12.65 px,True
2,19,26.42 px,False
2,20,26.08 px,False
2,22,19.65 px,True
2,23,20.88 px,True
2,25,22.56 px,True
2,26,23.35 px,True
2,27,23.54 px,True
2,28,33.30 px,False
2,30,27.00 px,True
2,31,31.05 px,True
2,32,31.78 px,True
2,33,32.98 px,True
2,34,33.73 px,True
2,35,43.74 px,False
2,36,44.55 px,False
2,37,47.68 px,False
2,41,68.68 px,False
2,44,51.00 px,False
2,51,88.41 px,False
2,55,89.94 px,False
2,56,89.27 px,False
2,63,110.54 px,False
3,4,33.06 px,True
3,5,32.06 px,True
3,6,32.14 px,True
3,7,7.07 px,True
3,8,32.56 px,True
3,9,33.73 px,True
3,10,32.98 px,True
3,14,34.18 px,True
3,15,33.24 px,True
3,16,30.46 px,True
3,17,16.97 px,True
3,18,13.42 px,True
3,19,35.47 px,False
3,20,34.93 px,False
3,22,19.65 px,True
3,23,20.40 px,True
3,25,22.56 px,True
3,26,23.77 px,True
3,27,23.54 px,True
3,30,28.79 px,True
3,32,31.14 px,True
3,42,69.35 px,False
3,56,96.18 px,False
3,58,96.33 px,False
3,63,117.38 px,False
3,73,121.02 px,False
4,5,1.00 px,True
4,6,1.41 px,True
4,8,4.12 px,True
4,9,5.00 px,True
4,10,6.08 px,True
4,11,9.06 px,True
4,14,10.05 px,True
4,15,10.20 px,True
4,16,11.18 px,True
4,17,23.26 px,True
4,18,28.79 px,True
4,19,11.00 px,False
4,20,12.04 px,False
4,26,34.21 px,True
4,28,23.02 px,False
4,30,33.97 px,True
4,31,41.77 px,True
4,39,65.80 px,False
4,45,67.21 px,False
4,50,59.03 px,False
5,6,1.00 px,True
5,8,4.00 px,True
5,9,5.10 px,True
5,10,6.00 px,True
